Model,Accuracy,Log Loss,Precision,Recall,F1-Score
Decision Tree,0.5342945417095778,14.468161635689158,0.5800338409475465,0.6269202633504023,0.602566356125857
Logistic Regression,0.5631307929969104,0.6750466627873236,0.5832654170062483,0.7852962692026335,0.6693686671862822
