Model,Accuracy,Log Loss,Precision,Recall,F1-Score
Decision Tree,0.5273887332710863,16.997724406588233,0.4474487570867859,0.3669527896995708,0.4032226370603262
Logistic Regression,0.5644257703081232,0.6810783568959857,0.0,0.0,0.0
